ACO_ID,ACO First Agreement Start Date,ACO_NUM
A2885,1/1/2016,A55033
A2890,1/1/2016,A46443
A2892,1/1/2016,A60541
A2893,1/1/2016,A38567
A2895,1/1/2016,A27169
A2909,1/1/2016,A53441
A2915,1/1/2016,A94144
A2916,1/1/2016,A17196
A2918,1/1/2016,A18013
A2920,1/1/2016,A79194
A2949,1/1/2016,A84144
A2950,1/1/2016,A47151
A2952,1/1/2016,A66931
A2956,1/1/2016,A10162
A2971,1/1/2016,A33934
A2972,1/1/2016,A20938
A2973,1/1/2016,A02551
A2975,1/1/2016,A12017
A3004,1/1/2016,A57853
A3009,1/1/2016,A40908
A3010,1/1/2016,A12141
A3012,1/1/2016,A56403
A3016,1/1/2016,A06512
A3020,1/1/2016,A93592
A3021,1/1/2016,A27912
A3029,1/1/2016,A38726
A3030,1/1/2016,A22038
A3043,1/1/2016,A26666
A3046,1/1/2016,A82552
A3047,1/1/2016,A20392
A3053,1/1/2016,A50190
A3058,1/1/2016,A68005
A3068,1/1/2016,A47940
A3070,1/1/2016,A28055
A3073,1/1/2016,A19490
A3075,1/1/2016,A87238
A3083,1/1/2016,A53560
A3086,1/1/2016,A23652
A3091,1/1/2016,A53506
A3094,1/1/2016,A48272
A3102,1/1/2016,A20311
A3103,1/1/2016,A57563
A3104,1/1/2016,A76184
A3105,1/1/2016,A08783
A3118,1/1/2016,A16388
A3141,1/1/2016,A76503
A3143,1/1/2016,A28163
A3151,1/1/2016,A26399
A3155,1/1/2016,A74494
A3173,1/1/2016,A69266
A3174,1/1/2016,A17421
A3178,1/1/2016,A19727
A3187,1/1/2016,A03907
A3195,1/1/2016,A78012
A3218,1/1/2016,A13888
A3224,1/1/2017,A64119
A3227,1/1/2017,A40581
A3228,1/1/2017,A88846
A3229,1/1/2017,A28661
A3233,1/1/2017,A37948
A3235,1/1/2017,A86874
A3236,1/1/2017,A92936
A3237,1/1/2017,A11599
A3238,1/1/2017,A63633
A3239,1/1/2017,A11338
A3240,1/1/2017,A01930
A3247,1/1/2017,A71094
A3250,1/1/2017,A02768
A3253,1/1/2017,A30142
A3256,1/1/2017,A60477
A3257,1/1/2017,A42909
A3266,1/1/2017,A89928
A3270,1/1/2017,A62769
A3272,1/1/2017,A06844
A3273,1/1/2017,A94589
A3274,1/1/2017,A60454
A3276,1/1/2017,A51090
A3277,1/1/2017,A93187
A3280,1/1/2017,A35853
A3281,1/1/2017,A68742
A3282,1/1/2017,A91221
A3283,1/1/2017,A51677
A3285,1/1/2017,A17907
A3287,1/1/2017,A81399
A3289,1/1/2017,A64256
A3299,1/1/2017,A13910
A3301,1/1/2017,A70186
A3302,1/1/2017,A43804
A3303,1/1/2017,A73083
A3309,1/1/2017,A27712
A3317,1/1/2017,A58996
A3318,1/1/2017,A66075
A3319,1/1/2017,A94754
A3320,1/1/2017,A28428
A3321,1/1/2017,A32693
A3323,1/1/2017,A85734
A3324,1/1/2017,A21780
A3325,1/1/2017,A81899
A3326,1/1/2017,A08031
A3327,1/1/2017,A86729
A3328,1/1/2017,A60591
A3332,1/1/2017,A61428
A3336,1/1/2017,A96182
A3352,1/1/2017,A95421
A3354,1/1/2017,A83175
A3355,1/1/2017,A86437
A3356,1/1/2017,A80158
A3361,1/1/2017,A79400
A3363,1/1/2017,A58444
A3365,1/1/2017,A28656
A3367,1/1/2017,A93701
A3378,1/1/2017,A14287
A3379,1/1/2017,A40688
A3380,1/1/2017,A92795
A3382,1/1/2017,A94770
A3383,1/1/2017,A37048
A3388,1/1/2017,A29197
A3391,1/1/2017,A25421
A3392,1/1/2017,A77059
A3394,1/1/2017,A30824
A3396,1/1/2017,A42791
A3397,1/1/2017,A56744
A3399,1/1/2017,A78741
A3424,1/1/2017,A72661
A3428,1/1/2017,A59819
A3442,1/1/2017,A70782
A3446,1/1/2017,A47448
A3451,1/1/2017,A10885
A3452,1/1/2017,A16074
A3454,1/1/2017,A33636
A3457,1/1/2017,A98866
A3458,1/1/2017,A16978
A3462,1/1/2017,A04812
A3464,1/1/2017,A36733
A3466,1/1/2017,A77005
A3470,1/1/2017,A24538
A3473,1/1/2017,A72596
A3474,1/1/2017,A61047
A3475,1/1/2017,A44604
A3476,1/1/2017,A70159
A3477,1/1/2017,A48800
A3483,1/1/2017,A79765
A3486,1/1/2017,A62006
A3504,1/1/2017,A37836
A3507,1/1/2017,A44621
A3509,1/1/2017,A10434
A3510,1/1/2017,A55300
A3520,1/1/2017,A81280
A3521,1/1/2017,A46655
A3527,1/1/2017,A14059
A3531,1/1/2017,A31531
A3534,1/1/2017,A89941
A3536,1/1/2017,A29630
A3537,1/1/2017,A55626
A3539,1/1/2017,A47728
A3547,1/1/2018,A61969
A3548,1/1/2018,A43337
A3549,1/1/2018,A11132
A3551,1/1/2018,A29574
A3553,1/1/2018,A91474
A3554,1/1/2018,A28245
A3555,1/1/2018,A62930
A3557,1/1/2018,A74112
A3560,1/1/2018,A22471
A3561,1/1/2018,A10811
A3562,1/1/2018,A61535
A3563,1/1/2018,A83552
A3565,1/1/2018,A21015
A3566,1/1/2018,A24590
A3570,1/1/2018,A47628
A3571,1/1/2018,A14381
A3574,1/1/2018,A65051
A3575,1/1/2018,A30900
A3576,1/1/2018,A67058
A3577,1/1/2018,A12408
A3578,1/1/2018,A64194
A3579,1/1/2018,A23885
A3580,1/1/2018,A51313
A3583,1/1/2018,A08483
A3588,1/1/2018,A62089
A3590,1/1/2018,A44121
A3591,1/1/2018,A61251
A3596,1/1/2018,A50195
A3597,1/1/2018,A59019
A3598,1/1/2018,A24150
A3599,1/1/2018,A60548
A3602,1/1/2018,A67286
A3603,1/1/2018,A94656
A3612,1/1/2018,A91305
A3613,1/1/2018,A60172
A3617,1/1/2018,A75317
A3620,1/1/2018,A67902
A3621,1/1/2018,A61301
A3623,1/1/2018,A14191
A3624,1/1/2018,A22700
A3625,1/1/2018,A35085
A3627,1/1/2018,A63753
A3628,1/1/2018,A96527
A3629,1/1/2018,A93058
A3630,1/1/2018,A12825
A3631,1/1/2018,A95010
A3632,1/1/2018,A42919
A3633,1/1/2018,A70377
A3644,1/1/2018,A03252
A3646,1/1/2018,A96490
A3647,1/1/2018,A48644
A3648,1/1/2018,A69848
A3649,1/1/2018,A11174
A3662,1/1/2018,A53911
A3663,1/1/2018,A36863
A3664,1/1/2018,A67327
A3667,1/1/2018,A03738
A3669,1/1/2018,A86418
A3670,1/1/2018,A18524
A3671,1/1/2018,A62395
A3675,1/1/2018,A63352
A3677,1/1/2018,A41269
A3680,1/1/2018,A85285
A3687,1/1/2018,A29854
A3689,1/1/2018,A99309
A3692,1/1/2018,A99232
A3693,1/1/2018,A15989
A3694,1/1/2018,A02175
